TV Rank,TV Name,Year of Release,IMDB Rating,Runtime,Genre,Rated
40,American Rust,2021,7.2,60,"
Crime, Drama            ",TV-MA
41,House of Lies,2012-2016,7.4,28,"
Comedy, Drama            ",TV-MA
42,The Naked Director,2019- ,7.7,48,"
Biography, Drama            ",TV-MA
43,China Beach,1988-1991,8.2,120,"
Drama, History, War            ",N/A
44,TURN: Washington's Spies,2014-2017,8.1,60,"
Drama, History, War            ",TV-14
45,Eight Is Enough,1977-1981,6.6,60,"
Comedy, Drama, Family            ",TV-G
46,Rebelde,2004-2006,6.8,60,"
Comedy, Drama, Family            ",TV-14
47,Mr Selfridge,2013-2016,7.7,45,"
Drama, History            ",TV-14
48,Dodger,2022- ,5.2,44,"
Comedy, Drama, Family            ",N/A
49,Zoo,2015-2017,6.6,42,"
Drama, Mystery, Sci-Fi            ",TV-14
50,Black Sheep Squadron,1976-1978,7.6,60,"
Action, Adventure, Drama            ",Not Rated
1,The Walking Dead,2010-2022,8.1,44,"
Drama, Horror, Thriller            ",TV-MA
2,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
3,Breaking Bad,2008-2013,9.5,49,"
Crime, Drama, Thriller            ",TV-MA
4,Better Call Saul,2015-2022,8.9,46,"
Crime, Drama            ",TV-MA
5,Hunters,2020-2023,7.2,60,"
Crime, Drama, Mystery            ",TV-MA
6,The Sopranos,1999-2007,9.2,55,"
Crime, Drama            ",TV-MA
7,Doctor Who,2005- ,8.6,45,"
Adventure, Drama, Sci-Fi            ",TV-PG
8,Supernatural,2005-2020,8.4,44,"
Drama, Fantasy, Horror            ",TV-14
9,Reacher,2022- ,8.1,49,"
Action, Crime, Drama            ",TV-MA
10,The Mandalorian,2019- ,8.7,40,"
Action, Adventure, Fantasy            ",TV-14
11,The Simpsons,1989- ,8.7,22,"
Animation, Comedy            ",TV-14
12,Sherlock,2010-2017,9.1,88,"
Crime, Drama, Mystery            ",TV-14
13,Buffy the Vampire Slayer,1997-2003,8.3,44,"
Action, Drama, Fantasy            ",TV-14
14,Dexter,2006-2013,8.7,53,"
Crime, Drama, Mystery            ",TV-MA
15,The Terminal List,2022- ,7.9,55,"
Action, Drama, Thriller            ",TV-MA
16,My Hero Academia,2016- ,8.4,24,"
Animation, Action, Adventure            ",TV-14
17,The Expanse,2015-2022,8.5,60,"
Drama, Mystery, Sci-Fi            ",TV-14
18,Avatar: The Last Airbender,2005-2008,9.3,23,"
Animation, Action, Adventure            ",TV-Y7-FV
19,24,2001-2010,8.4,44,"
Action, Crime, Drama            ",TV-14
20,Fringe,2008-2013,8.4,46,"
Drama, Mystery, Sci-Fi            ",TV-14
21,The Punisher,2017-2019,8.5,53,"
Action, Crime, Drama            ",TV-MA
22,Futurama,1999-2023,8.5,22,"
Animation, Adventure, Comedy            ",TV-14
23,Gotham,2014-2019,7.8,42,"
Action, Crime, Drama            ",TV-14
24,Firefly,2002-2003,9,44,"
Adventure, Drama, Sci-Fi            ",TV-14
25,Luther,2010-2019,8.4,60,"
Crime, Drama, Mystery            ",TV-MA
26,Hunter x Hunter,2011-2014,9,24,"
Animation, Action, Adventure            ",TV-14
27,Doctor Who,1963-1989,8.4,45,"
Adventure, Drama, Family            ",TV-PG
28,Death Note,2006-2007,9,23,"
Animation, Crime, Drama            ",TV-14
29,Watchmen,2019,8.2,527,"
Crime, Drama, Mystery            ",TV-MA
30,DC's Legends of Tomorrow,2016-2022,6.8,42,"
Action, Adventure, Drama            ",TV-14
31,Angel,1999-2004,7.9,44,"
Action, Drama, Fantasy            ",TV-14
32,The Owl House,2020-2023,8.4,22,"
Animation, Action, Adventure            ",TV-Y7-FV
33,Black Clover,2017-2021,8.3,24,"
Animation, Action, Adventure            ",TV-PG
34,My Name Is Earl,2005-2009,7.8,22,"
Comedy            ",TV-14
35,Revenge,2011-2015,7.8,44,"
Drama, Mystery, Thriller            ",TV-14
36,Cowboy Bebop,1998-1999,8.9,24,"
Animation, Action, Adventure            ",TV-14
37,Taxi,1978-1983,7.7,30,"
Comedy            ",TV-PG
38,Cowboy Bebop,2021,6.7,58,"
Action, Adventure, Comedy            ",TV-MA
39,Hell on Wheels,2011-2016,8.3,42,"
Drama, Western            ",TV-14
40,Red Dwarf,1988- ,8.4,30,"
Comedy, Sci-Fi            ",TV-14
41,The Incredible Hulk,1977-1982,7,60,"
Action, Adventure, Drama            ",TV-PG
42,Xena: Warrior Princess,1995-2001,6.7,45,"
Action, Adventure, Drama            ",TV-PG
43,Torchwood,2006-2011,7.7,50,"
Action, Drama, Mystery            ",TV-MA
44,Primal,2019- ,8.7,22,"
Animation, Action, Adventure            ",TV-MA
45,Robot Chicken,2001- ,7.7,11,"
Animation, Short, Adventure            ",TV-14
46,Rescue Me,2004-2011,8.3,42,"
Comedy, Drama            ",TV-MA
47,Kung Fu,1972-1975,7.6,60,"
Adventure, Drama, Western            ",TV-PG
48,Samurai Jack,2001-2017,8.5,25,"
Animation, Action, Adventure            ",TV-MA
49,Berserk,2016-2017,6.7,24,"
Animation, Action, Adventure            ",TV-MA
50,Fairly OddParents,2001-2017,7.2,30,"
Animation, Adventure, Comedy            ",TV-Y7
1,Ginny & Georgia,2021- ,7.4,N/A,"
Comedy, Drama            ",TV-14
2,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
3,His Dark Materials,2019-2022,7.8,60,"
Adventure, Drama, Family            ",TV-14
4,Stranger Things,2016- ,8.7,51,"
Drama, Fantasy, Horror            ",TV-14
5,The Sopranos,1999-2007,9.2,55,"
Crime, Drama            ",TV-MA
6,Rick and Morty,2013- ,9.1,23,"
Animation, Adventure, Comedy            ",TV-14
7,Modern Family,2009-2020,8.5,22,"
Comedy, Drama, Romance            ",TV-PG
8,The Handmaid's Tale,2017- ,8.4,60,"
Drama, Sci-Fi, Thriller            ",TV-MA
9,Euphoria,2019- ,8.4,55,"
Drama            ",TV-MA
10,Family Guy,1999- ,8.2,22,"
Animation, Comedy            ",TV-MA
11,Step by Step,1991-1998,6.5,30,"
Comedy, Family, Romance            ",TV-G
12,The Watcher,2022- ,6.5,332,"
Drama, Horror, Mystery            ",TV-MA
13,Gilmore Girls,2000-2007,8.2,44,"
Comedy, Drama            ",TV-PG
14,One Tree Hill,2003-2012,7.8,60,"
Drama, Romance, Sport            ",TV-14
15,The Simpsons,1989- ,8.7,22,"
Animation, Comedy            ",TV-14
16,The X-Files,1993-2018,8.6,45,"
Crime, Drama, Mystery            ",TV-14
17,That '70s Show,1998-2006,8.1,22,"
Comedy, Drama, Romance            ",TV-14
18,Fear the Walking Dead,2015-2023,6.8,44,"
Drama, Horror, Sci-Fi            ",TV-MA
19,Buffy the Vampire Slayer,1997-2003,8.3,44,"
Action, Drama, Fantasy            ",TV-14
20,Mad Men,2007-2015,8.7,47,"
Drama            ",TV-MA
21,Downton Abbey,2010-2015,8.7,58,"
Drama, Romance            ",TV-PG
22,Bluey,2018- ,9.6,7,"
Animation, Family            ",TV-Y
23,Schitt's Creek,2015-2020,8.5,22,"
Comedy            ",TV-14
24,Homeland,2011-2020,8.3,55,"
Crime, Drama, Mystery            ",TV-MA
25,Bob's Burgers,2011- ,8.2,22,"
Animation, Comedy            ",TV-14
26,The Addams Family,1964-1966,8,30,"
Comedy, Family, Horror            ",TV-G
27,Call Me Kat,2021- ,5.3,21,"
Comedy            ",TV-14
28,24,2001-2010,8.4,44,"
Action, Crime, Drama            ",TV-14
29,Riverdale,2017- ,6.6,45,"
Crime, Drama, Mystery            ",TV-14
30,Friday Night Lights,2006-2011,8.7,44,"
Drama, Sport            ",TV-14
31,Veep,2012-2019,8.4,28,"
Comedy            ",TV-MA
32,The Good Wife,2009-2016,8.4,43,"
Crime, Drama, Mystery            ",TV-14
33,Big Little Lies,2017-2019,8.5,60,"
Crime, Drama, Mystery            ",TV-MA
34,Married... with Children,1987-1997,8.1,22,"
Comedy            ",TV-PG
35,Desperate Housewives,2004-2012,7.6,45,"
Comedy, Drama, Mystery            ",TV-14
36,The O.C.,2003-2007,7.5,44,"
Comedy, Drama, Romance            ",TV-PG
37,Mom,2013-2021,7.3,30,"
Comedy, Drama, Romance            ",TV-14
38,Charmed,1998-2006,7.1,42,"
Drama, Fantasy, Mystery            ",TV-14
39,The Goldbergs,2013- ,8,22,"
Comedy            ",TV-PG
40,Everybody Loves Raymond,1996-2005,7.2,22,"
Comedy            ",TV-PG
41,Last Man Standing,2011-2021,7.5,30,"
Comedy            ",TV-14
42,The Tudors,2007-2010,8.1,60,"
Drama, History, Romance            ",TV-MA
43,"Beverly Hills, 90210",1990-2000,6.5,44,"
Drama, Romance            ",TV-PG
44,Evil,2019- ,7.7,42,"
Crime, Drama, Horror            ",TV-14
45,The Golden Girls,1985-1992,8.1,30,"
Comedy, Drama            ",TV-PG
46,Six Feet Under,2001-2005,8.7,60,"
Comedy, Drama            ",TV-MA
47,Inside Job,2021-2022,7.7,30,"
Animation, Comedy, Fantasy            ",TV-14
48,Killing Eve,2018-2022,8.1,42,"
Action, Adventure, Drama            ",TV-14
49,American Dad!,2005- ,7.4,22,"
Animation, Comedy            ",TV-MA
50,Good Girls,2018-2021,7.7,43,"
Comedy, Crime, Drama            ",TV-14
1,Game of Thrones,2011-2019,9.2,57,"
Action, Adventure, Drama            ",TV-MA
2,The Witcher,2019- ,8.1,60,"
Action, Adventure, Drama            ",TV-MA
3,Hunters,2020-2023,7.2,60,"
Crime, Drama, Mystery            ",TV-MA
4,Reacher,2022- ,8.1,49,"
Action, Crime, Drama            ",TV-MA
5,The Mandalorian,2019- ,8.7,40,"
Action, Adventure, Fantasy            ",TV-14
6,The Terminal List,2022- ,7.9,55,"
Action, Drama, Thriller            ",TV-MA
7,The Expanse,2015-2022,8.5,60,"
Drama, Mystery, Sci-Fi            ",TV-14
8,Smallville,2001-2011,7.5,60,"
Action, Adventure, Drama            ",TV-PG
9,Hawaii Five-0,2010-2020,7.4,42,"
Action, Crime, Drama            ",TV-14
10,Avatar: The Last Airbender,2005-2008,9.3,23,"
Animation, Action, Adventure            ",TV-Y7-FV
11,Daredevil,2015-2018,8.6,54,"
Action, Crime, Drama            ",TV-MA
12,24,2001-2010,8.4,44,"
Action, Crime, Drama            ",TV-14
13,The Punisher,2017-2019,8.5,53,"
Action, Crime, Drama            ",TV-MA
14,Gotham,2014-2019,7.8,42,"
Action, Crime, Drama            ",TV-14
15,Bleach,2004-2012,8.2,24,"
Animation, Action, Adventure            ",TV-14
16,Firefly,2002-2003,9,44,"
Adventure, Drama, Sci-Fi            ",TV-14
17,Baywatch,1989-2001,5.4,60,"
Action, Adventure, Crime            ",TV-PG
18,Battlestar Galactica,2004-2009,8.7,44,"
Action, Adventure, Drama            ",TV-14
19,DC's Legends of Tomorrow,2016-2022,6.8,42,"
Action, Adventure, Drama            ",TV-14
20,Angel,1999-2004,7.9,44,"
Action, Drama, Fantasy            ",TV-14
21,Batman: The Animated Series,1992-1995,9,23,"
Animation, Action, Adventure            ",TV-PG
22,The A-Team,1983-1987,7.5,60,"
Action, Adventure, Crime            ",TV-PG
23,Warrior,2019- ,8.4,60,"
Action, Crime, Drama            ",TV-MA
24,Miami Vice,1984-1989,7.5,48,"
Action, Crime, Drama            ",TV-14
25,Strike Back,2010-2020,8.1,45,"
Action, Drama, Thriller            ",TV-MA
26,"Magnum, P.I.",1980-1988,7.5,48,"
Action, Adventure, Crime            ",TV-PG
27,Cowboy Bebop,1998-1999,8.9,24,"
Animation, Action, Adventure            ",TV-14
28,MacGyver,1985-1992,7.7,48,"
Action, Adventure, Crime            ",TV-PG
29,Cowboy Bebop,2021,6.7,58,"
Action, Adventure, Comedy            ",TV-MA
30,Hawaii Five-O,1968-1980,7.4,60,"
Crime, Drama, Mystery            ",TV-PG
31,Batman,1966-1968,7.5,25,"
Action, Adventure, Comedy            ",TV-G
32,Mighty Morphin Power Rangers,1993-1996,6.5,30,"
Action, Adventure, Family            ",TV-Y7
33,"Walker, Texas Ranger",1993-2001,5.5,43,"
Action, Adventure, Crime            ",TV-PG
34,The Man from U.N.C.L.E.,1964-1968,7.7,50,"
Action, Adventure, Crime            ",TV-PG
35,The Incredible Hulk,1977-1982,7,60,"
Action, Adventure, Drama            ",TV-PG
36,Knight Rider,1982-1986,6.9,46,"
Action, Crime, Drama            ",TV-PG
37,The Wild Wild West,1965-1969,8.1,50,"
Action, Adventure, Western            ",TV-PG
38,Teen Titans,2003-2006,7.9,23,"
Animation, Action, Adventure            ",TV-Y7-FV
39,The Avengers,1961-1969,8.3,N/A,"
Action, Comedy, Crime            ",TV-14
40,Justice League,2001-2004,8.6,22,"
Animation, Action, Adventure            ",TV-PG
41,Hunter,I) (1984-1991,6.8,48,"
Action, Crime, Drama            ",TV-14
42,The Six Million Dollar Man,1974-1978,7.1,60,"
Action, Crime, Drama            ",TV-14
43,Kung Fu,1972-1975,7.6,60,"
Adventure, Drama, Western            ",TV-PG
44,Samurai Jack,2001-2017,8.5,25,"
Animation, Action, Adventure            ",TV-MA
45,Highlander,1992-1998,7.2,60,"
Action, Adventure, Fantasy            ",TV-14
46,Airwolf,1984-1986,6.7,60,"
Action, Adventure, Sci-Fi            ",TV-14
47,Sharpe,1993-2008,8.4,N/A,"
Action, Adventure, Drama            ",TV-14
48,The Fugitive,1963-1967,8.1,51,"
Adventure, Crime, Drama            ",N/A
49,Buck Rogers in the 25th Century,1979-1981,6.9,60,"
Action, Adventure, Sci-Fi            ",TV-14
50,The Saint,1962-1969,7.5,50,"
Action, Crime, Drama            ",TV-PG
